short_name,long_name,age,dob,height_cm,weight_kg,nationality,club
M. Ivanov,Mihail Aleksandrov Ivanov,29,1989-08-07,185,75,Bulgaria,AFC Eskilstuna
A. Dawson,Adam Dawson,26,1992-10-05,175,78,England,Macclesfield Town
F. Mveng,Freddy Mveng Mbezele,27,1992-05-29,176,80,Switzerland,Neuchâtel Xamax
G. Shaw,Gary Shaw,27,1992-05-10,196,87,Republic of Ireland,St. Patrick's Athletic
V. Oliver,Vadaine Oliver,27,1991-10-21,188,78,England,Northampton Town
B. Cevahir,Bülent Cevahir,27,1992-02-13,180,75,Turkey,Yeni Malatyaspor
D. Clarke,Dean Clarke,26,1993-03-29,178,81,Republic of Ireland,St. Patrick's Athletic
C. McAleer,Caolan McAleer,25,1993-08-19,175,67,Northern Ireland,Finn Harps
J. Ingham,Jai Ingham,25,1993-08-14,180,72,New Zealand,Brisbane Roar
B. Kalinkowski,Bartłomiej Kalinkowski,24,1994-07-11,182,69,Poland,LKS Lodz
Lü Haidong,Haidong Lü,27,1992-01-11,180,69,China PR,Shenzhen FC
Wang Qiuming,王秋明,26,1993-01-09,173,64,China PR,Hebei China Fortune FC
D. Al Saeed,Dawood Al Saeed,28,1991-03-28,180,86,Saudi Arabia,Al Hazem
R. Peña,Ricardo Israel Peña Franco,27,1992-05-27,171,72,Mexico,Querétaro
K. Athiu,Kenny Athiu,26,1992-08-05,201,85,South Sudan,Melbourne Victory
P. O'Vich,Paul O'Vich,27,1992-03-29,192,86,England,Bury
K. Heemskerk,Kees Heemskerk,28,1991-05-02,194,86,Netherlands,RKC Waalwijk
N. Ouammou,Nassim Ouammou,26,1993-04-27,181,73,France,Rodez Aveyron Football
V. Boral,Vihaan Boral,29,1989-07-14,183,77,India,India
J. Ibehre,Jabo Ibehre,36,1983-01-28,194,92,England,Cambridge United
S. Russell,Sam Russell,36,1982-10-04,183,70,England,Grimsby Town
M. Gurski,Michael Gurski,40,1979-03-21,189,89,Germany,SpVgg Unterhaching
P. Cherrie,Peter Cherrie,35,1983-10-01,188,76,Scotland,Derry City
C. Beardsley,Chris Kelan Beardsley,35,1984-02-28,183,81,England,Burton Albion
A. Bennett,Alan Bennett,37,1981-10-04,188,85,Republic of Ireland,Cork City
I. Miller,Ishmael Miller,32,1987-03-05,191,89,England,Tranmere Rovers
E. Zeneli,Erfan Zeneli,32,1986-12-28,168,67,Finland,HJK Helsinki
G. Ruíz,Gerardo Daniel Ruiz Barragán,33,1985-09-05,190,77,Mexico,Querétaro
K. Browne,Kenny Browne,32,1986-08-07,191,86,Republic of Ireland,Waterford FC
Ai Zhibo,Zhibo Ai,36,1982-10-29,188,82,China PR,Wuhan Zall
Yao Hanlin,Hanlin Yao,34,1985-04-16,175,60,China PR,Wuhan Zall
Tan Wangsong,谭望嵩,33,1985-12-19,180,70,China PR,Tianjin TEDA FC
C. Mfuyi,Christopher Mfuyi,29,1989-07-03,184,77,DR Congo,Servette FC
J. Martin,Joe Martin,30,1988-11-29,183,83,England,Northampton Town
J. Turley,Jamie Turley,29,1990-04-07,188,82,England,Leyton Orient
S. Duggan,Shane Duggan,30,1989-03-11,171,70,Republic of Ireland,Waterford FC
D. Webster,David Webster,29,1989-08-09,187,77,Republic of Ireland,St. Patrick's Athletic
T. Miyazaki,宮崎 智彦,32,1986-11-21,170,68,Japan,Júbilo Iwata
Ahn Seong Nam,안성남 安宋南,35,1984-04-17,176,68,Korea Republic,Gyeongnam FC
G. Gillespie,Grant Gillespie,27,1991-07-02,176,75,Scotland,Derry City
Ha Sung Min,하성민 河成敏,32,1987-06-13,184,78,Korea Republic,Gyeongnam FC
K. Devaney,Kevin Devaney,28,1990-09-26,179,70,Republic of Ireland,Bohemian FC
A. Riemann,Alexander Riemann,27,1992-04-12,183,78,Germany,VfL Osnabrück
M. Kozioł,Marek Kozioł,31,1988-06-01,199,91,Poland,Korona Kielce
S. Al Dosari,Saeed Mohammed Al Dosari,27,1991-07-15,178,60,Saudi Arabia,Al Fateh
M. Al Burayh,Murtadha Al Burayh,28,1990-07-10,183,70,Saudi Arabia,Al Adalah
Lee Sang Hyeob,이상협 李相协,29,1990-01-01,176,67,Korea Republic,Sangju Sangmu FC
O. Ashoor,Osama Ashoor,29,1990-01-07,170,75,Saudi Arabia,Abha Club
M. Al Wakid,Mohammed Al Wakid,27,1992-03-25,182,82,Saudi Arabia,Al Hilal
Bae Seung Jin,裴盛金,31,1987-11-03,182,75,Korea Republic,Gyeongnam FC
Shi Liang,史亮,30,1989-05-11,178,73,China PR,Beijing Renhe FC
Jin Pengxiang,晋鹏翔,29,1990-01-25,187,77,China PR,Guangzhou R&F FC
Yang Boyu,杨博宇,30,1989-06-24,185,81,China PR,Jiangsu Suning FC
Sun Bo,孙铂,28,1991-01-22,177,73,China PR,Dalian YiFang FC
Zhang Yuan,Yuan Zhang,29,1989-12-08,185,82,China PR,Shenzhen FC
F. Al Marwani,Fahad Al Marwani,31,1987-09-07,181,70,Saudi Arabia,Abha Club
Zhang Lu,张璐,31,1987-08-23,181,74,China PR,Shanghai Greenland Shenhua FC
A. Ablet,阿布都外力·阿布来提,32,1987-04-14,178,68,China PR,Henan Jianye FC
Li Chao,Chao Li,31,1987-08-15,178,75,China PR,Wuhan Zall
C. Coll,Ciarán Coll,27,1991-08-19,178,64,Republic of Ireland,Derry City
Song Wenjie,宋文杰,28,1991-01-15,185,74,China PR,Shandong Luneng TaiShan FC
A. Albers,Andreas Albers Nielsen,29,1990-03-23,193,88,Denmark, SSV Jahn Regensburg
E. Sivertsen,Erlend Sivertsen,28,1991-01-28,179,82,Norway,Kristiansund BK
Y. Nishibe,西部 洋平,38,1980-12-01,187,79,Japan,Shimizu S-Pulse
S. Beyaz,Semih Beyaz,26,1992-08-16,176,64,Turkey,Yeni Malatyaspor
Song Long,宋龙,29,1989-08-20,181,69,China PR,Shandong Luneng TaiShan FC
D. Fitzpatrick,David Fitzpatrick,29,1990-02-28,179,73,England,Macclesfield Town
K. Böhnlein,Kristian Böhnlein,29,1990-05-10,183,78,Germany,TSV 1860 München
N. Peter,Nsima Peter,30,1988-12-28,185,82,Nigeria,Falkenbergs FF
R. Parkes,Romeo Parkes,28,1990-11-11,192,88,Jamaica,Sligo Rovers
O. Gastrell,Oliver Gastrell,33,1986-05-01,186,88,England,Bury
I. Stoica,Ionuț Stoica,31,1988-01-06,186,83,Romania,FC Hermannstadt
�. Blănaru,Ștefan Blănaru,30,1989-02-20,178,76,Romania,FC Hermannstadt
A. Al Humayan,Abdullah Al Humayan,30,1988-07-24,179,70,Saudi Arabia,Al Adalah
C. Whitely,Corey Whitely,27,1991-07-11,181,73,England,Newport County
D. Sundaram,Diasha Sundaram,30,1989-04-28,186,81,India,India
R. Jayaraman,Randhir Jayaraman,34,1984-11-20,180,82,India,India
D. Bajwa,Dinkerrai Bajwa,38,1981-03-05,182,72,India,India
C. Villagra,Cesar Villagra,30,1988-12-27,181,76,Paraguay,CD Cobresal
D. Echeverri,Diego Echeverri,29,1989-07-21,182,78,Colombia,Atlético Huila
J. Mendez,Jhon Mendez,33,1985-08-10,171,67,Colombia,Jaguares de Córdoba
L. Chevalier,Lucas Chevalier,17,2001-11-06,187,78,France,LOSC Lille
Raúl Prada,Raúl Prada Lozano,18,2001-01-01,180,68,Spain,RCD Mallorca
B. Omeragic,Becir Omeragic,17,2002-01-20,187,74,Switzerland,FC Zürich
A. Ngouyamsa,Ahmad Toure Ngouyamsa,18,2000-12-21,185,75,Cameroon,Dijon FCO
J. Campaz,Jaminton Leandro Campaz,19,2000-05-24,171,68,Colombia,Deportes Tolima
M. Meli,Marco Meli,19,2000-02-02,178,70,Italy,Fiorentina
J. Romero,Jonás Romero,18,2000-08-21,159,59,Argentina,Atlético Tucumán
J. Blazquez,Joaquin Blazquez,19,2000-01-28,192,83,Argentina,Valencia CF
G. Carvajal,Gustavo Adolfo Carvajal Gómez,19,2000-06-17,181,72,Colombia,América de Cali
T. Vettorel,Thomas Vettorel,18,2000-09-17,190,78,Italy,Cittadella
G. Siadas,Georgios Siadas,19,1999-12-27,180,74,Germany,Fortuna Düsseldorf
L. Ingolotti,Luis Ignacio Ingolotti,19,2000-01-14,180,78,Argentina,Club Atlético Aldosivi
M. Vroman,Mathéo Vroman,17,2001-11-19,178,72,France,Royal Excel Mouscron
L. Ntumba,Lévi Ntumba,18,2001-01-12,194,78,France,Dijon FCO
G. Azzinnari,Gianni Azzinnari,18,2001-06-05,175,69,Italy,SC Paderborn 07
Y. Oyanedel,Yerco Oyanedel,18,2000-09-19,170,66,Chile,Universidad Católica
N. Chilvers,Noah Chilvers,18,2001-02-22,173,64,England,Colchester United
K. Nkuba,Ken Nkuba,17,2002-01-21,173,70,Belgium,Sporting de Charleroi
J. Neiß,Justin Neiß,19,2000-04-27,181,75,Germany,Hannover 96
T. Barbet,Théo Barbet,18,2001-03-06,184,75,France,Dijon FCO
J. Consbruch,Jomaine Consbruch,17,2002-01-26,174,62,Germany,DSC Arminia Bielefeld
L. Kasten,Lino Kasten,18,2001-01-17,188,90,Germany,VfL Wolfsburg
T. Cuello,Tomás Esteban Cuello,19,2000-03-05,178,64,Argentina,Atlético Tucumán
M. Żukowski,Mateusz Żukowski,17,2001-11-23,185,82,Poland,Lechia Gdańsk
J. Lankester,Jack Lankester,19,2000-01-19,183,74,England,Ipswich Town
Y. Meneses,Yadir Meneses,19,2000-04-01,178,72,Colombia,Envigado FC
N. Stendera,Nils Stendera,18,2000-09-30,177,68,Germany,Eintracht Frankfurt
P. Besong,Paul-Philipp Besong,18,2000-10-06,184,78,Germany,1. FC Nürnberg
K. Flanagan,Kian Flanagan,19,1999-08-29,179,72,Republic of Ireland,Crystal Palace
A. Semenyo,Antoine Semenyo,19,2000-01-07,178,63,England,Bristol City
M. Jørgensen,Mathias Jørgensen,18,2000-09-20,185,70,Denmark,New York Red Bulls
A. Bakir,Alaa Bakir,18,2001-01-15,177,69,Germany,Borussia Dortmund
P. Borukov,Preslav Borukov,19,2000-04-23,189,92,Bulgaria,Sheffield Wednesday
A. Gomez Mancini,Anthony Gomez Mancini,18,2001-04-06,180,70,France,Angers SCO
N. Okello,Noble Okello,18,2000-07-20,193,77,Canada,Toronto FC
A. Arroyo,Andrés Arroyo,17,2002-01-20,171,60,Colombia,Deportivo Cali
N. Kupusović,Njegoš Kupusović,18,2001-02-22,179,75,Serbia,FC Erzgebirge Aue
F. Greilinger,Fabian Greilinger,18,2000-09-13,176,68,Germany,TSV 1860 München
L. González,Lucas González,19,2000-06-03,169,68,Argentina,Independiente
J. Lokilo,Jason Lokilo,20,1998-09-17,175,65,DR Congo,Crystal Palace
B. Fleming,Brandon Fleming,19,1999-12-03,175,70,England,Hull City
L. Guzmán,Lautaro Guzmán,19,2000-01-18,173,64,Argentina,Club Atlético Talleres
P. Webber,Patrick Webber,20,1999-05-15,183,70,England,Ipswich Town
C. Higuera,Carlos Higuera,18,2000-11-18,182,77,Mexico,Club Tijuana
B. Servania,Brandon Servania,20,1999-03-12,178,73,United States,FC Dallas
R. Kehr,Robin Kehr,19,2000-02-22,189,81,Germany,SpVgg Greuther Fürth
F. Winther,Frederik Winther,18,2001-01-04,186,70,Denmark,Lyngby BK
T. Herbots,Tibo Herbots,18,2001-05-07,185,70,Belgium,Sint-Truidense VV
Darío Ramos,Darío Ramos Pinazo,19,1999-10-19,191,78,Spain,Getafe CF
C. Kelman,Charlie Kelman,17,2001-11-02,175,70,United States,Southend United
Cheon Seong-Hoon,천성훈 Seong-Hoon Cheon,18,2000-09-21,190,79,Korea Republic,FC Augsburg
J. Serrano,Juan Sebastián Serrano,20,1999-01-08,190,76,Colombia,Alianza Petrolera
A. Rowe,Aaron Rowe,18,2000-09-07,180,70,England,Huddersfield Town
F. Tomi,Félix Tomi,18,2000-08-31,175,70,France,AC Ajaccio
N. Korkmaz,Nurettin Korkmaz,17,2002-06-27,172,70,Turkey,Kayserispor
T. Odusina,Timi Odusina,19,1999-10-28,186,74,England,Norwich City
L. McCormick,Luke McCormick,20,1999-01-21,180,74,Scotland,Shrewsbury
C. Coventry,Conor Coventry,19,2000-03-25,175,65,Republic of Ireland,West Ham United
M. Cooper,Michael Cooper,19,1999-10-08,180,75,England,Plymouth Argyle
I. Mahnashi,Ibrahim Mahnashi,19,1999-11-18,171,70,Saudi Arabia,Ettifaq FC
S. Vines,Samuel Vines,20,1999-05-31,178,68,United States,Colorado Rapids
N. Clayton-Phillips,Nicholas Clayton-Phillips,19,1999-09-23,175,65,England,West Bromwich Albion
K. Kesgin,Kerem Atakan Kesgin,18,2000-11-05,177,76,Turkey,Göztepe SK
S. Grønli,Sigurd Grønli,18,2000-10-17,170,64,Norway,Tromsø IL
T. Knost,Tobias Knost,19,2000-05-08,178,76,Germany,Hamburger SV
K. Dimitriou,Konstantinos Dimitriou,20,1999-06-30,186,78,Greece,FC Basel 1893
B. Galdames,Benjamín Galdames,18,2001-02-24,172,66,Chile,Unión Española
L. Leroy,Léo Leroy,19,2000-02-14,186,82,France,La Berrichonne de Châteauroux
S. Grubac,Sergej Grubac,19,2000-05-29,190,80,Montenegro,Chievo Verona
E. Hottmann,Eric Hottmann,19,2000-02-08,187,82,Germany,SG Sonnenhof Großaspach
L. van Kleef,Lorenzo van Kleef,18,2001-01-26,183,75,Netherlands,ADO Den Haag
J. Leweling,Jamie Leweling,18,2001-02-26,184,86,Germany,SpVgg Greuther Fürth
A. Terzic,Aleksa Terzic,19,1999-08-17,184,70,Serbia,Fiorentina
C. Şen,Cenk Şen,18,2000-10-02,174,70,Turkey,Antalyaspor
G. D'Anca,Giuseppe D'Anca,19,2000-04-06,180,70,Italy,Trapani
D. Parra,Daniel Parra,19,1999-07-20,175,66,Mexico,Monterrey
I. Tapia,Ignacio Tapia,20,1999-02-22,186,74,Chile,CD Huachipato
M. Rasmussen,Mads Roerslev Rasmussen,20,1999-06-24,180,67,Denmark,Brentford
M. Candlin,Mitchell Candlin,19,2000-06-08,184,74,England,Walsall
N. Awuku,Noah Awuku,19,2000-01-09,182,84,Germany,Holstein Kiel
F. Adorni,Federico Adorni,19,2000-03-13,185,80,Italy,Parma
C. Lang,Callum Lang,20,1998-09-08,180,73,England,Wigan Athletic
G. McAuley,Glen McAuley,19,2000-02-24,189,75,Republic of Ireland,St. Patrick's Athletic
N. Kastenhofer,Niklas Kastenhofer,20,1999-01-08,185,75,Germany,Hallescher FC
Y. Roemer,Yahcuroo Roemer,17,2001-07-22,180,70,Netherlands,VVV-Venlo
L. Kryeziu,Leutrim Kryeziu,20,1999-01-25,181,73,Kosovo,FC Lugano
L. Müller,Leon Müller,18,2000-08-11,180,75,Germany,SV Darmstadt 98
L. Ivanovic,Luke Ivanovic,19,2000-06-06,180,75,Australia,Sydney FC
P. Finger,Patrick Finger,18,2001-01-01,166,61,Germany,Eintracht Frankfurt
J. Rennicks,Justin Rennicks,20,1999-03-20,180,72,United States,New England Revolution
E. Kumah,Emmanuel Kumah,19,2000-02-09,179,66,Ghana,Wisła Kraków
A. Catalán,Andrés Catalán,18,2000-08-20,166,64,Mexico,Monarcas Morelia
M. Keita,Malick Keita,18,2001-05-25,184,68,Guinea,Sporting de Charleroi
Oh Hyun Gyu,오현규 Hyun Gyu Oh,18,2001-04-12,185,83,Korea Republic,Suwon Samsung Bluewings
M. Hoffmeier,Marcel Hoffmeier,19,1999-07-15,180,70,Germany,SC Preußen Münster
L. Sinayoko,Lassine Sinayoko,19,1999-12-08,185,78,France,AJ Auxerre
L. Dehl,Laurenz Dehl,17,2001-12-12,179,76,Germany,1. FC Union Berlin
T. Mißner,Tobias Mißner,19,2000-02-17,179,73,Germany,SV Wehen Wiesbaden
E. Vardar,Erman Herman Vardar,17,2001-12-14,177,72,Sweden,Antalyaspor
L. Coveliers,Lars Coveliers,18,2000-10-20,177,72,Belgium,KV Mechelen
R. Cunningham,Ross Cunningham,21,1998-05-23,178,70,Scotland,Hamilton Academical FC
H. St Clair,Harvey St Clair,20,1998-10-13,175,65,Scotland,Venezia FC
G. Cuomo,Giuseppe Cuomo,21,1998-02-02,190,79,Italy,Crotone
M. Ahumada Acuña,Matías Ahumada Acuña,21,1998-06-05,175,69,Argentina,Estudiantes de La Plata
M. Sevimler,Murat Sevimler,20,1998-07-11,182,69,Turkey,Alanyaspor
A. Cavagnera,Alexandro Cavagnera,20,1998-12-01,185,75,Belgium,Milan
G. McGregor,Giovanni McGregor,20,1999-01-09,176,71,England,Crystal Palace
M. Sanders,Max Harrison Sanders,20,1999-01-04,176,80,England,Brighton & Hove Albion
D. Butterworth,Daniel Butterworth,19,1999-09-04,181,69,England,Blackburn Rovers
L. Gagliano,Luca Gagliano,18,2000-07-14,178,73,Italy,Cagliari
O. Skarsem,Olaus Jair Skarsem,20,1998-07-02,183,74,Norway,Ranheim Fotball
R. Kobryń,Rafał Kobryń,19,1999-12-05,184,77,Poland,Lechia Gdańsk
O. Kensdale,Ollie Kensdale,19,2000-04-20,191,85,England,Colchester United
J. Krahl,Julian Krahl,19,2000-01-22,194,90,Germany,1. FC Köln
J. Brändle,Jonas Brändle,19,2000-05-06,174,66,Germany,1. FC Heidenheim 1846
L. Ihorst,Luc Ihorst,19,2000-03-07,188,80,Germany,SV Werder Bremen
M. Doue,Marc Olivier Doue,18,2000-10-11,180,75,France,PEC Zwolle
B. Vera,Brayan Vera,20,1999-01-15,180,74,Colombia,Lecce
T. Salte,Tord Johnsen Salte,20,1999-02-08,184,81,Norway,Viking FK
A. Smith,Alistair Smith,20,1999-05-19,187,67,England,Mansfield Town
T. Buchanan,Tajon Buchanan,20,1999-02-08,183,69,Canada,New England Revolution
L. Kitching,Liam Kitching,19,1999-10-01,191,80,England,Forest Green Rovers
O. Deman,Olivier Deman,19,2000-04-06,180,70,Belgium,KSV Cercle Brugge
�. Târnovanu,Ștefan Târnovanu,19,2000-05-09,197,81,Romania,Politehnica Iaşi
E. Peña Zauner,Enrique Peña Zauner,19,2000-03-04,177,68,Venezuela,SV Sandhausen
K. Yeboah,Kelvin Yeboah,19,2000-05-06,182,70,Ghana,WSG Tirol
P. Raitanen,Patrik Raitanen,18,2001-06-13,183,70,Finland,Fortuna Sittard
S. Mambo,Stone Mambo,20,1999-03-25,183,75,DR Congo,ESTAC Troyes
D. Huiberts,Dean Huiberts,19,2000-05-16,186,70,Netherlands,PEC Zwolle
A. Bass,Alex Bass,21,1998-04-01,187,70,England,Portsmouth
J. Powell,Joe Powell,20,1998-10-30,178,68,England,West Ham United
R. Arnold,Remo Arnold,22,1997-01-17,190,83,Switzerland,FC Luzern
O. Kakay,Osman Kakay,21,1997-08-25,180,72,Sierra Leone,Queens Park Rangers
J. Evans,Jack Evans,21,1998-04-25,178,69,Wales,Swansea City
Mésaque Djú,Mésaque Geremias Djú,20,1999-03-18,178,63,Portugal,West Ham United
T. Smith,Tyler Smith,20,1998-12-04,178,67,England,Bristol Rovers
K. Kouassivi-Benissan,Kevin Kouassivi-Benissan,20,1999-01-25,185,74,Finland,HJK Helsinki
Javi López,Javier López Vegara,18,2001-01-16,175,70,Spain,Elche CF
Y. Letard,Yannis Letard,20,1998-08-18,188,86,France,FC St. Gallen
C. Antwi,Clinton Antwi,19,1999-11-06,169,68,Ghana,FC Nordsjælland
J. Debrah,Jesse Debrah,19,2000-05-01,191,92,England,Millwall
M. Salaba,Manuel Salaba,19,2000-05-19,188,77,Austria,SV Mattersburg
F. Almada,Facundo Almada,20,1998-07-10,178,72,Argentina,Rosario Central
I. Smith,Iván Smith,20,1999-03-24,174,68,Argentina,Godoy Cruz
U. Godwin-Malife,Udoka Godwin-Malife,19,2000-05-09,180,79,England,Forest Green Rovers
A. Sîntean,Andrei Sîntean,20,1999-06-16,177,72,Romania,FC Hermannstadt
C. Zavala,Cristián Zavala,19,1999-08-03,172,71,Chile,Coquimbo Unido
B. Doukansy,Brahima Doukansy,19,1999-08-21,188,67,France,Chamois Niortais Football Club
M. Zaiser,Maximilian Zaiser,20,1999-03-08,176,68,Germany,Bayern München II
J. Rochelt,Jannik Rochelt,20,1998-09-27,182,76,Germany,Bayern München II
A. Dumiter,Andrei Dumiter,20,1999-04-10,180,71,Romania,Sepsi OSK
M. Opfermann Arcones,Maurice Opfermann Arcones,19,2000-06-16,172,64,Germany,1. FC Union Berlin
L. Brassier,Lilian Brassier,19,1999-11-02,184,78,France,Valenciennes FC
Z. Ould Khaled,Zinédine Ould Khaled,19,2000-01-14,195,78,France,Angers SCO
D. Grözinger,David Grözinger,20,1999-04-08,181,75,Germany,VfB Stuttgart
R. Zuijderwijk,Rick Zuijderwijk,18,2001-04-13,176,65,Netherlands,Willem II
F. Sagman,Furkan Sagman,19,2000-01-07,178,75,Germany,Sivasspor
D. Mitov,Dimitar Mitov,22,1997-01-22,188,76,Bulgaria,Cambridge United
O. Rasmussen,Oskar Buur Rasmussen,21,1998-03-31,176,70,Denmark,Wolverhampton Wanderers
M. Al Mutlaq,Muteb Al Mutlaq,21,1997-12-10,165,66,Saudi Arabia,Al Nassr
L. Hernández,Luis Hernández,21,1998-02-02,182,77,Mexico,Deportivo Toluca
R. Holden,Rory Holden,21,1997-08-23,169,68,Northern Ireland,Walsall
D. Nussbaumer,Daniel Nussbaumer,19,1999-11-29,188,74,Austria,SCR Altach
K. Sadiki,Kosovar Sadiki,20,1998-08-27,193,70,Canada,Hibernian
A. Papadopoulos,Antonios Papadopoulos,19,1999-09-10,185,78,Germany,Hallescher FC
Gabi,Gabriel Jesús Lorente Navarro,21,1997-10-10,175,70,Spain,AD Alcorcón
L. Tempelmann,Lino Tempelmann,20,1999-02-02,174,75,Germany,SC Freiburg
A. Pereira,Adrian Pereira,19,1999-08-31,177,73,Norway,Viking FK
M. Shinada,品田 愛斗,19,1999-09-19,180,66,Japan,FC Tokyo
L. Schaffran,Leon Schaffran,20,1998-07-31,186,82,Germany,SpVgg Greuther Fürth
B. Gabriël,Brent Gabriël,20,1999-01-27,188,75,Belgium,Waasland-Beveren
M. Grabowski,Marcin Grabowski,19,2000-05-21,177,65,Poland,Wisła Kraków
I. Hutchinson,Isaac Hutchinson,19,2000-04-10,178,70,England,Southend United
D. Kinumbe,Daniel Kinumbe,20,1999-03-15,173,70,Canada,Montreal Impact
I. Lushaku,Ismet Lushaku,18,2000-09-22,175,62,Kosovo,AFC Eskilstuna
N. Thiede,Niclas Thiede,20,1999-04-14,185,81,Germany,SC Freiburg
F. Jäkel,Frederik Jäkel,18,2001-03-07,193,78,Germany,RB Leipzig
M. Andersson,Mattias Andersson,21,1998-03-13,187,82,Sweden,FC Sion
K. Lidin,Kevin Lidin,20,1999-03-04,187,77,Sweden,Pisa
J. Miranda,Jhon Fredy Miranda Rada,22,1997-03-07,178,73,Colombia,Independiente Santa Fe
Q. Lajami,Qasem Lajami,23,1996-04-24,178,75,Saudi Arabia,Al Fateh
M. López,Mateo López,22,1997-03-18,178,78,Colombia,Independiente Medellín
J. Palacios,José Palacios,22,1996-12-27,171,67,Colombia,Independiente Santa Fe
R. Senhadji,Rayan Senhadji,22,1997-06-13,185,80,France,FC Sochaux-Montbéliard
B. Ozegovic,Benjamin Ozegovic,19,1999-08-09,184,81,Austria,SCR Altach
Moon Jung In,문정인 文政仁,21,1998-03-16,193,80,Korea Republic,Ulsan Hyundai FC
J. Graham,Jordan Graham,21,1997-12-30,187,80,England,Mansfield Town
E. McGinty,Edward McGinty,19,1999-08-05,188,78,Republic of Ireland,Sligo Rovers
M. Nadé,Mickaël Nadé,20,1999-03-04,188,80,France,AS Saint-Étienne
V. Nambishi,Valance Nambishi,21,1997-11-30,183,81,Denmark,Silkeborg IF
Panutche Camará,Panutche Amadu Pereira Camará,22,1997-02-28,185,73,Guinea Bissau,Crawley Town
S. Martin,Scott Martin,22,1997-04-01,173,68,Scotland,Hamilton Academical FC
L. Ritson,Lewis Ritson,20,1998-11-01,184,77,England,Hull City
T. Righetti,Timo Righetti,21,1998-05-02,179,82,Switzerland,FC Thun
D. Mercado,Diego Mercado,22,1997-01-03,169,71,Argentina,Independiente
Choi Beom Kyung,최범경 Beom Kyung Choi,22,1997-06-24,176,73,Korea Republic,Incheon United FC
E. Clarke,Eddie Clarke,20,1998-12-29,172,70,England,Macclesfield Town
M. Bassouamina,Mons Bassouamina,21,1998-05-28,172,71,France,AS Nancy Lorraine
T. Hara,原 大智,20,1999-05-05,189,76,Japan,FC Tokyo
J. Farias,Jonathan Farias,21,1998-03-27,178,83,Argentina,Club Atlético Aldosivi
N. Balongo,Nelson Balongo,20,1999-04-15,187,75,DR Congo,Sint-Truidense VV
L. Cabrera,Lisandro Cabrera,21,1998-01-04,183,70,Argentina,Patriotas Boyacá FC
J. Björkengren,John Björkengren,20,1998-12-09,180,78,Sweden,Falkenbergs FF
I. Tona,Iván Tona,19,2000-04-01,176,62,Mexico,Club Tijuana
A. Van Hoorenbeeck,Alec Van Hoorenbeeck,20,1998-12-30,187,77,Belgium,KV Mechelen
Y. Diaz,Yesid Diaz,21,1997-07-24,188,75,Colombia,Independiente Medellín
J. Plautz,Justin Plautz,20,1999-04-09,183,76,Germany,SønderjyskE
L. Buzan,Lucian Buzan,20,1999-03-09,170,63,Romania,FC Hermannstadt
R. Zerrouki,Ramiz Zerrouki,21,1998-05-26,171,67,Netherlands,FC Twente
N. Zortea,Nadir Zortea,20,1999-06-01,175,70,Italy,US Cremonese
C. Poshoroğlu,Çayan Poshoroğlu,20,1999-03-18,171,67,Turkey,Gençlerbirliği SK
A. Jakubiak,Alex Jakubiak,22,1996-08-27,177,66,Scotland,Gillingham
L. Ward,Lewis Ward,22,1997-03-05,195,81,England,Exeter City
R. Corlu,Rezan Corlu,21,1997-08-07,170,75,Denmark,Lyngby BK
Cao Yongjing,曹永竞,22,1997-02-15,180,73,China PR,Beijing Renhe FC
N. D'Agostino,Nicholas D'Agostino,21,1998-02-25,175,75,Australia,Perth Glory
I. Chicco,Ignacio Francisco Chicco,23,1996-06-30,183,80,Argentina,Club Atlético Colón
E. Ross,Ethan Ross,22,1997-03-06,196,94,England,Colchester United
D. Udoh,Daniel Udoh,22,1996-08-30,183,73,Nigeria,Shrewsbury
S. Want,Shaun Want,22,1997-02-09,180,70,Scotland,Hamilton Academical FC
M. Rayman,Mohammed Rayman,22,1996-09-04,174,65,Saudi Arabia,Al Raed
C. Cockerill-Mollett,Callum Cockerill-Mollett,20,1999-01-15,178,70,Republic of Ireland,Walsall
J. Lunney,Jonathan Lunney,21,1998-02-02,175,70,Republic of Ireland,Waterford FC
A. Majok,Abraham Majok,20,1998-10-13,185,72,Kenya,Central Coast Mariners
R. McCourt,Robbie McCourt,21,1998-04-06,178,64,Republic of Ireland,Bohemian FC
J. Keaney,Jack Keaney,20,1999-01-18,188,76,Republic of Ireland,UCD AFC
S. Blaney,Shane Blaney,20,1999-01-20,191,79,Republic of Ireland,Doncaster Rovers
L. Wade-Slater,Luke Wade-Slater,21,1998-03-02,180,70,Republic of Ireland,Bohemian FC
S. Coly,Sidy Keba Coly,21,1998-02-20,184,69,Senegal,Roma
J. Brimmer,Jake Brimmer,21,1998-04-03,180,70,Australia,Perth Glory
K. Le Roy,Killian Le Roy,21,1998-01-31,193,80,France,FC Chambly Oise
O. Šarkić,Oliver Šarkić,21,1997-07-23,184,77,Montenegro,Burton Albion
P. Sander,Philipp Sander,21,1998-02-21,185,76,Germany,Holstein Kiel
M. Sylla,Moussa Sylla,20,1999-03-15,177,72,France,Racing Club de Lens
G. Kyrnats,Georgiy Kyrnats,21,1998-06-22,188,79,Russia,PFC CSKA Moscow
H. Offia,Henry Offia,19,1999-12-26,171,71,Nigeria,IK Sirius
R. Fujimura,藤村 怜,20,1999-05-26,176,68,Japan,Hokkaido Consadole Sapporo
